episodios_id;temporada;episodio;titulo;classificacao;escritor_1;escritor_2;principal_1;principal_2;principal_3;review_usuario;review_critica;audiencia;duracao;diretor
1;1;1;Winter Is Coming;9.1;David Benioff;D.B. Weiss;78;101;7;27;28;2.2;56;Timothy Van Patten
2;1;2;The Kingsroad;8.8;David Benioff;D.B. Weiss;78;101;7;27;28;2.2;56;Timothy Van Patten
3;1;3;Lord Snow;8.7;David Benioff;D.B. Weiss;78;101;7;22;26;2.45;56;Timothy Van Patten
4;1;4;Cripples, Bastards, and Broken Things;8.8;David Benioff;D.B. Weiss;78;101;7;22;26;2.45;56;Brian Kirk
5;1;5;The Wolf and the Lion;9.1;David Benioff;D.B. Weiss;78;101;7;24;26;2.58;55;Brian Kirk
6;1;6;A Golden Crown;9.2;David Benioff;D.B. Weiss;78;101;29;23;26;2.44;53;Daniel Minahan
7;1;7;You Win or You Die;9.2;David Benioff;D.B. Weiss;78;101;7;21;27;2.4;58;Daniel Minahan
8;1;8;The Pointy End;9;David Benioff;D.B. Weiss;78;101;7;30;29;2.66;57;Daniel Minahan
9;1;9;Baelor;9.6;David Benioff;D.B. Weiss;78;29;7;30;29;2.66;57;Alan Taylor
10;1;10;Fire and Blood;9.5;David Benioff;D.B. Weiss;78;29;7;34;29;3.04;53;Alan Taylor
11;2;1;The North Remembers;8.8;George R.R. Martin;David Benioff;1;2;7;22;29;3.86;53;Alan Taylor
12;2;2;The Night Lands;8.5;George R.R. Martin;David Benioff;1;2;3;19;25;3.76;54;Alan Taylor
13;2;3;What Is Dead May Never Die;8.8;George R.R. Martin;David Benioff;1;2;29;15;25;3.77;53;Alik Sakharov
14;2;4;Garden of Bones;8.8;George R.R. Martin;David Benioff;1;29;3;19;24;3.65;51;David Petrarca
15;2;5;The Ghost of Harrenhal;8.8;George R.R. Martin;David Benioff;1;2;29;14;25;3.9;55;David Petrarca
16;2;6;The Old Gods and the New;9.1;George R.R. Martin;David Benioff;1;2;29;20;25;3.88;54;David Nutter
